index;Neme;Age;PTelj;PBoldog;PMagany;MKA3;KKA7
780;2;58;14;7;0;3;5
781;2;54;19;3;8;3;7
786;2;30;25;7;2;2;4
787;2;54;30;10;0;2;2
793;2;55;24;9;0;2;2
796;2;65;24;9;2;2;2
798;1;38;27;7;5;1;1
799;2;51;26;9;1;2;2
806;2;58;27;10;0;2;2
807;2;62;22;8;1;2;4
808;2;51;26;1;4;3;7
809;1;58;19;5;3;3;5
813;2;46;19;5;2;3;5
815;1;66;24;7;1;2;4
816;2;64;25;7;1;2;4
818;2;61;19;7;5;3;3
825;1;45;25;8;8;1;1
829;2;33;22;0;10;3;6
830;1;51;24;10;1;2;2
833;2;52;29;10;0;2;2
835;2;75;25;8;5;1;1
836;2;44;24;7;0;2;4
840;2;62;21;7;3;1;4
855;2;51;21;9;4;3;4
856;1;59;26;9;1;2;2
873;2;61;24;8;1;2;4
874;2;44;21;2;1;3;5
875;2;47;23;7;2;2;4
876;1;75;27;9;2;2;2
884;2;61;25;9;0;2;2
885;2;58;25;10;0;2;2
890;2;65;23;8;0;2;4
892;2;62;22;7;2;2;4
894;2;38;22;7;7;1;3
895;1;37;22;7;5;1;3
896;2;54;19;8;5;3;3
898;2;54;19;8;5;3;3
899;2;59;25;8;0;2;2
903;2;53;19;9;1;3;4
906;2;33;25;9;1;2;2
907;2;62;26;8;2;2;2
909;1;60;30;10;0;2;2
910;1;51;27;10;7;1;1
919;2;58;21;8;0;2;4
922;2;50;22;9;2;2;4
923;2;50;26;9;8;1;1
924;2;46;24;8;1;2;4
926;2;61;19;5;4;3;5
962;2;52;24;7;0;2;4
963;2;49;25;10;2;2;2
967;1;59;25;10;0;2;2
973;2;47;11;2;10;3;6
974;2;50;12;6;3;3;5
978;2;58;25;8;7;1;1
985;2;62;24;9;1;2;2
986;2;48;24;7;1;2;4
989;2;71;24;6;0;3;4
995;2;57;25;7;5;1;1
1005;1;63;27;9;0;2;2
1006;2;36;25;8;1;2;2
1011;2;40;19;9;0;3;4
1014;1;67;25;10;2;2;2
1015;1;72;27;10;0;2;2
1018;2;67;20;8;5;1;3
1020;1;72;20;9;0;2;4
1022;2;70;23;7;6;1;1
1025;2;51;26;9;0;2;2
1029;1;42;27;8;0;2;2
1030;2;55;19;7;6;3;3
1041;1;66;26;9;0;2;2
1044;1;46;24;8;0;2;4
1045;2;53;26;9;1;2;2
1048;1;57;26;8;0;2;2
1050;2;51;17;2;9;3;6
1057;2;58;26;8;8;1;1
1067;2;58;22;5;5;3;7
1073;1;72;29;9;0;2;2
1075;2;38;24;7;4;1;1
1081;1;43;22;8;0;2;4
1085;2;61;23;8;7;1;1
1086;1;58;21;7;6;1;3
1089;2;69;28;10;0;2;2
1096;2;41;27;7;4;1;1
1105;2;70;13;0;10;3;6
1111;1;20;26;8;5;1;1
1112;1;42;23;5;6;3;7
1113;1;40;29;7;0;2;2
1114;2;47;21;8;6;1;3
1121;1;44;27;4;2;3;7
1122;1;59;26;9;1;2;2
1125;1;44;23;8;2;2;4
1126;1;50;24;8;8;1;1
1127;1;52;21;7;4;1;3
1129;1;36;15;5;5;3;5
1130;2;57;23;7;4;1;4
1131;1;47;20;6;4;3;3
1133;1;36;15;5;5;3;5
1135;1;55;24;9;0;2;2
1138;1;58;21;7;5;1;3
1139;1;62;27;9;0;2;2
1140;1;49;25;9;1;2;2
1141;1;55;24;9;9;1;1
1142;1;45;25;7;8;1;1
1145;1;55;26;9;0;2;2
1147;1;48;26;8;9;1;1
1149;1;18;11;4;2;3;5
1150;1;28;18;2;8;3;6
1151;2;34;23;8;1;2;4
1153;1;56;27;10;0;2;2
1158;1;41;21;10;3;3;4
1159;2;53;25;8;4;1;1
1161;1;65;28;7;4;3;1
1164;1;46;17;3;9;3;6
1165;1;37;24;3;8;3;7
1169;1;45;23;9;0;2;4
1172;1;37;16;0;10;3;6
1173;1;64;8;2;2;3;5
1174;1;45;22;8;0;2;4
1177;1;47;19;6;1;3;4
1178;1;46;29;10;1;2;2
1184;1;51;19;3;1;3;5
1186;1;42;24;8;1;2;4
1188;1;60;16;6;4;3;5
1189;1;41;21;7;2;2;4
1191;1;52;30;9;0;2;2
1195;1;48;23;9;2;2;4
1196;1;50;26;9;0;2;2
1200;1;36;21;4;6;3;7
1203;1;32;15;3;10;3;6
1204;1;49;23;9;0;2;4
1205;1;30;28;7;5;1;1
1206;2;42;13;6;0;3;5
1209;1;73;17;10;1;3;4
1215;1;73;23;9;2;2;4
1217;1;31;23;7;3;1;4
1218;1;71;29;9;1;2;2
1219;1;46;20;5;7;3;7
1224;1;57;26;9;1;2;2
1226;1;27;21;7;5;1;3
1228;1;67;25;9;0;2;2
1229;1;57;23;8;2;2;4
1233;1;53;27;9;0;2;2
1234;1;78;22;8;2;2;4
1236;1;68;27;10;0;2;2
1240;1;63;28;8;7;1;1
1243;1;61;22;8;0;2;4
1246;2;61;21;6;6;3;3
1248;1;32;18;8;8;3;3
1251;1;31;12;7;6;3;3
1253;1;60;24;5;0;3;4
1256;1;42;23;7;1;2;4
1257;1;63;22;6;4;1;3
1258;1;54;27;9;0;2;2
1260;1;65;23;6;7;3;7
1261;1;45;15;3;5;3;5
1262;1;71;27;10;0;2;2
1263;1;60;22;6;2;3;4
1264;1;55;24;8;1;2;4
1270;1;57;28;9;3;3;2
1271;1;73;18;9;0;3;4
1272;1;30;22;9;7;1;1
1273;1;46;18;7;4;3;3
1278;1;65;26;9;3;2;2
1279;2;50;28;10;0;2;2
1283;1;60;23;8;1;2;4
1284;1;66;17;9;0;3;4
1287;1;42;24;7;5;1;1
1289;1;67;19;7;0;3;4
1291;1;59;13;2;8;3;6
1295;1;34;27;9;7;1;1
1296;1;31;22;6;9;3;7
1301;1;53;26;10;0;2;2
1303;2;53;22;7;6;1;3
1305;2;45;28;10;0;2;2
1308;1;48;21;2;5;3;7
1310;1;50;28;9;3;3;2
1312;1;64;16;5;7;3;3
1313;2;33;25;8;4;1;1
1314;1;58;25;9;0;2;2
1315;1;18;23;8;3;1;4
1319;2;39;11;3;8;3;6
1320;1;68;22;8;2;2;4
1324;2;50;23;7;7;1;1
1325;1;57;18;7;8;3;3
1326;1;54;23;7;8;1;1
1329;1;50;17;2;7;3;6
1331;1;54;23;9;0;2;4
1332;1;40;16;8;3;3;3
1333;1;64;24;8;0;2;4
1338;1;72;20;10;1;3;4
1341;1;33;24;8;2;2;4
1343;2;53;23;6;3;1;4
1345;1;38;27;8;9;1;1
1349;1;37;23;7;7;1;1
1350;1;37;23;8;2;2;4
1351;1;43;26;2;8;3;7
1356;1;62;25;8;1;2;2
1357;1;33;24;9;7;1;1
1359;1;86;23;8;0;2;4
1360;1;66;27;9;2;2;2
1361;2;63;16;5;0;3;5
1364;1;40;27;10;0;2;2
1365;2;63;26;8;1;2;2
1369;1;67;20;6;8;3;3
1371;1;28;22;5;0;3;4
1374;2;42;20;6;5;3;3
1378;1;51;19;7;4;3;3
1384;2;56;21;4;8;3;7
1388;1;55;24;8;0;2;4
1393;1;48;27;9;5;1;1
1396;1;39;24;5;8;3;7
1397;1;54;15;9;0;3;4
1403;2;51;15;5;6;3;5
1410;1;68;15;5;6;3;5
1415;2;42;24;8;2;2;4
1416;1;49;27;8;5;1;1
1417;2;60;23;10;0;2;2
1420;1;50;26;8;0;2;2
1422;1;45;26;9;1;2;2
1426;1;62;25;8;4;1;1
1427;1;67;17;6;1;3;5
1429;2;39;25;9;1;2;2
1432;1;47;27;8;5;1;1
1433;1;73;24;9;1;2;2
1435;1;39;27;10;0;2;2
1437;1;52;22;9;1;2;4
1442;1;58;20;8;9;1;3
1443;1;43;24;8;1;2;4
1447;1;55;22;7;2;2;4
1451;1;69;21;4;8;3;7
1453;1;72;13;2;5;3;6
1455;1;48;28;8;1;2;2
1467;1;51;27;8;2;2;2
1470;2;49;23;8;2;2;4
1474;1;70;24;7;2;2;4
1476;1;52;23;8;2;2;4
1478;1;55;16;6;9;3;3
1480;2;47;18;3;9;3;6
1484;1;49;24;9;0;2;2
1485;1;78;11;3;2;3;5
1486;1;37;25;5;0;3;4
1487;1;43;24;5;5;3;7
1490;1;31;22;8;3;1;4
1494;1;65;23;8;0;2;4
1495;1;44;26;8;8;1;1
1498;1;48;25;10;0;2;2
1501;1;51;27;8;2;2;2
1506;1;36;22;7;6;1;3
1507;1;71;11;4;2;3;5
1510;1;56;26;9;1;2;2
1511;1;52;27;10;0;2;2
1514;1;63;26;10;0;2;2
1515;1;26;22;8;4;1;4
1516;1;28;20;7;2;3;4
1518;1;50;26;9;1;2;2
1521;2;42;22;8;0;2;4
1523;2;70;28;9;0;2;2
1524;2;47;24;10;0;2;2
1530;1;65;27;9;8;1;1
1533;1;60;20;7;3;1;4
1538;1;60;24;8;1;2;4
1541;1;36;24;7;5;1;1
1547;2;47;18;8;7;3;3
1550;1;48;26;10;0;2;2
1551;2;49;25;10;0;2;2
1554;1;47;26;8;8;1;1
1556;1;63;25;8;7;1;1
1561;1;39;25;6;5;3;1
1563;1;63;0;0;10;3;6
1564;1;50;24;8;0;2;4
1565;1;36;21;9;2;2;4
1568;1;39;27;9;1;2;2
1571;1;63;19;3;7;3;7
1574;1;72;23;9;0;2;4
1576;1;36;19;5;3;3;5
1577;1;57;25;8;2;2;4
1581;1;68;26;9;0;2;2
1582;1;41;27;9;2;2;2
1583;1;22;17;7;3;3;3
1585;1;49;26;8;0;2;2
1586;1;31;28;10;1;2;2
1588;1;60;19;7;3;3;3
1594;1;43;28;10;0;2;2
1598;1;72;17;7;1;3;4
1603;1;58;25;9;0;2;2
1607;2;68;23;7;8;1;1
1611;1;70;22;9;0;2;4
1612;1;52;14;2;2;3;5
1620;1;34;18;5;1;3;5
1622;1;55;27;9;2;2;2
1626;1;50;17;6;6;3;3
1627;1;62;26;9;9;1;1
1628;1;74;25;6;1;3;4
1629;1;45;23;8;1;2;4
1631;1;58;23;6;8;3;7
1633;1;66;27;10;1;2;2
1635;1;71;24;5;7;3;7
1638;1;69;21;8;2;2;4
1646;1;49;14;5;6;3;5
1654;1;39;16;0;10;3;6
1655;2;55;21;6;6;3;3
1657;2;61;20;5;5;3;7
1659;1;67;19;3;5;3;7
1665;1;47;25;7;7;1;1
1668;1;30;26;9;5;1;1
1671;2;53;25;9;7;1;1
1682;1;50;27;7;1;2;2
1685;1;55;25;10;1;2;2
1687;1;72;19;8;1;3;4
1688;1;61;18;8;2;3;4
1690;1;47;27;8;0;2;2
1691;1;46;19;8;0;3;4
1695;2;59;24;8;0;2;4
1696;1;46;27;9;0;2;2
1710;1;47;26;8;0;2;2
1713;1;56;27;10;0;2;2
1720;1;68;26;8;2;2;2
1723;2;62;25;9;2;2;2
1724;1;34;16;4;3;3;5
1726;1;66;20;7;1;2;4
1728;2;41;25;7;6;1;1
1732;1;59;26;8;1;2;2
1737;2;50;26;8;8;1;1
1738;1;45;28;9;0;2;2
1739;2;61;24;8;7;1;1
1740;1;75;21;3;7;3;7
