Változó: ;PTelj;Pboldog;Pmagány;;;;;;;;;;;;;
Átlag: ;19;46;6;523;6;108;;;;;;;;;;
Szórás: ;2;818;1;213;1;522;;;;;;;;;;
Min: ;12;5;4;;;;;;;;;;;;;
Max: ;24;9;10;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Klaszterkód: 4;;Gyak=137;Homogenitási együttható: HC = 0;55;;;;;;;;;;;;
Változó: ;PTelj;Pboldog;Pmagány;;;;;;;;;;;;;
Átlag: ;21;66;7;547;1;496;;;;;;;;;;
Szórás: ;2;855;1;14;1;261;;;;;;;;;;
Min: ;12;4;0;;;;;;;;;;;;;
Max: ;27;10;4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Klaszterkód: 5;;Gyak=58;Homogenitási együttható: HC = 1;90;;;;;;;;;;;;
Változó: ;PTelj;Pboldog;Pmagány;;;;;;;;;;;;;
Átlag: ;16;14;2;897;5;810;;;;;;;;;;
Szórás: ;4;940;1;447;3;198;;;;;;;;;;
Min: ;0;0;0;;;;;;;;;;;;;
Max: ;26;6;10;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
A homogenitási együttható a klaszterbeli páronkénti távolságok átlaga.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
EESS%;Pontbisz;XBmod;Sil.eh.;HCátlag;CLdelta;GDI24;HCmin-HCmax;;;;;;;;;
69;66;0;360;0;449;0;587;0;613;0;852;0;289;0;25.jan;90
HC-átlag kiszámításánál a klaszterátlagokat a klaszterek nagyságával súlyoztuk.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
NEM STANDARDIZÁLT ÁTLAGOK;;;;;;;;;;;;;;;;
Klaszter;PTelj;Pboldog;Pmagány;KLgyak;;;;;;;;;;;;
KL1;25;22;7;667;6;808;78;;;;;;;;;
KL2;26;6;9;123;0;685;162;;;;;;;;;
KL3;19;46;6;523;6;108;65;;;;;;;;;
KL4;21;66;7;547;1;496;137;;;;;;;;;
KL5;16;14;2;897;5;810;58;;;;;;;;;
;;;;;;;;;;;;;;;;
STANDARDIZÁLT ÁTLAGOK;;;;;;;;;;;;;;;;
Klaszter;PTelj;Pboldog;Pmagány;KLgyak;;;;;;;;;;;;
KL1;0;58;0;12;1;19;78;;;;;;;;;
KL2;0;77;0;81;0;81;162;;;;;;;;;
KL3;0;75;0;42;0;96;65;;;;;;;;;
KL4;0;24;0;7;0;54;137;;;;;;;;;
KL5;-1;51;-2;12;0;87;58;;;;;;;;;
;;;;;;;;;;;;;;;;
STANDARDIZÁLT ÁTLAGOK MINTÁZATA (M = Magas; A = Alacsony);;;;;;;;;;;;;;;
Klaszter;PTelj;Pboldog;Pmagány;KLgyak;HC;;;;;;;;;;;
KL1;(M);.;M+;78;0;47;;;;;;;;;;
KL2;M;M;A;162;0;25;;;;;;;;;;
KL3;A;.;M;65;0;66;;;;;;;;;;
KL4;.;.;(A);137;0;55;;;;;;;;;;
KL5;A++;A++++;M;58;1;90;;;;;;;;;;
;;;;;;;;;;;;;;;;
Klaszter homogenitás együtthatók klasztermérettel súlyozott átlaga: HCátlag = 0;613 (min = 0;"25; max = 1";90);;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Jelölések:;;;;;;;;;;;;;;;;
Egyszerû kiírás:  0;675 <= |z| <= 1;000  (p: 16-25%);;;;;;;;;;;;;;
( ):  0;44 <= |z| <= 0;674  (p: 25-33%);;;;;;;;;;;;;;
+:  1;001 <= |z| <= 1;404  (p: 8-16%);;;;;;;;;;;;;;
++:  1;405 <= |z| <= 1;644  (p: 5-8%);;;;;;;;;;;;;;
+++:  1;645 <= |z| <= 2;044  (p: 2-5%);;;;;;;;;;;;;;
++++:  2;045 <= |z| (p: 0-2%);;;;;;;;;;;;;;;
